event_date,entry_date,exit_date,entry_price,exit_price,gross_return,transaction_cost,net_return,equity
2009-08-06,2009-08-07,2009-08-14,4591.89990234375,4580.0498046875,-0.00258065243325567,0.001,-0.00358065243325567,1.0473584749478952
2009-08-17,2009-08-18,2009-08-25,4389.5,4659.35009765625,0.06147627239007858,0.001,0.06047627239007858,1.1106988113689014
2009-10-27,2009-10-28,2009-11-05,4846.5498046875,4765.5498046875,-0.016712920172956447,0.001,-0.017712920172956448,1.0910250919869264
2009-11-26,2009-11-27,2009-12-04,5005.0498046875,5108.89990234375,0.020749063787335098,0.001,0.019749063787335097,1.1125718161221592
2010-01-21,2010-01-22,2010-02-01,5094.14990234375,4899.7001953125,-0.03817117885396071,0.001,-0.03917117885396071,1.0689910665249622
2010-02-05,2010-02-08,2010-02-16,4755.35009765625,4855.75,0.02111304116036239,0.001,0.020113041160362388,1.0904917278460386
2010-05-19,2010-05-20,2010-05-27,4924.2998046875,5003.10009765625,0.01600233456414224,0.001,0.015002334564142239,1.1068516495866143
2010-06-01,2010-06-02,2010-06-09,4970.75,5000.2998046875,0.005944737652768595,0.001,0.004944737652768595,1.1123247406143544
2010-11-16,2010-11-18,2010-11-25,6075.9501953125,5799.75,-0.04545794261539271,0.001,-0.04645794261539271,1.0606484216452112
2010-12-09,2010-12-10,2010-12-20,5761.0,5947.0498046875,0.03229470659390721,0.001,0.03129470659390721,1.093841102799889
2011-01-07,2011-01-10,2011-01-17,5901.2998046875,5654.75,-0.04177889835247173,0.001,-0.04277889835247173,1.047047785449457
2011-02-04,2011-02-07,2011-02-14,5430.14990234375,5456.0,0.004760475883933246,0.001,0.003760475883933246,1.0509851833959656
2011-02-24,2011-02-25,2011-03-07,5321.0498046875,5463.14990234375,0.026705274874719187,0.001,0.025705274874719186,1.078001046424416
2011-05-03,2011-05-04,2011-05-11,5567.7001953125,5565.0498046875,-0.0004760296948516096,0.001,-0.0014760296948516096,1.0764098848688126
2011-06-20,2011-06-21,2011-06-28,5280.7998046875,5545.2998046875,0.05008710986642906,0.001,0.04908710986642906,1.129247735148678
2011-08-05,2011-08-08,2011-08-16,5083.85009765625,5035.7998046875,-0.009451555818080104,0.001,-0.010451555818080105,1.1174453394123312
2011-08-18,2011-08-19,2011-08-26,4859.2998046875,4747.7998046875,-0.022945692688572605,0.001,-0.023945692688572606,1.0906873367184857
2011-09-12,2011-09-13,2011-09-20,4977.7998046875,5140.2001953125,0.03262493410684586,0.001,0.03162493410684586,1.1251802518733791
2011-09-22,2011-09-23,2011-09-30,4873.75,4943.25,0.014260066683765116,0.001,0.013260066683765115,1.1401002170444756
2011-11-21,2011-11-22,2011-11-30,4794.85009765625,4832.0498046875,0.007758262776438762,0.001,0.006758262776438762,1.147805313902737
2011-12-08,2011-12-09,2011-12-16,4870.75,4651.60009765625,-0.04499305083277727,0.001,-0.04599305083277727,1.0950142457542766
2012-01-30,2012-01-31,2012-02-07,5125.25,5335.14990234375,0.040954080746061106,0.001,0.039954080746061105,1.1387645333472303
2012-02-27,2012-02-28,2012-03-06,5310.5,5222.39990234375,-0.016589793363383842,0.001,-0.017589793363383843,1.1187339005161023
2012-03-22,2012-03-23,2012-03-30,5255.64990234375,5295.5498046875,0.00759181130500286,0.001,0.00659181130500286,1.1261083832888144
2012-05-08,2012-05-09,2012-05-16,4967.89990234375,4858.25,-0.022071681092451056,0.001,-0.023071681092451057,1.1001271697940391
