Event_Number,Event_Date,Event_Return,Entry_Date,Entry_Price,Holding_Period,Exit_Date,Exit_Price,Forward_Return
91,2009-11-03,-0.03136878129805265,2009-11-04,4567.2998046875,1,2009-11-04,4710.7998046875,0.0314190016282101
91,2009-11-03,-0.03136878129805265,2009-11-04,4567.2998046875,3,2009-11-06,4796.14990234375,0.05010621317684838
91,2009-11-03,-0.03136878129805265,2009-11-04,4567.2998046875,5,2009-11-10,4881.7001953125,0.06883725703802623
92,2009-11-26,-0.02008556906467729,2009-11-27,5005.0498046875,1,2009-11-27,4941.75,-0.012647187771881119
92,2009-11-26,-0.02008556906467729,2009-11-27,5005.0498046875,3,2009-12-01,5122.0,0.02336643987098186
92,2009-11-26,-0.02008556906467729,2009-11-27,5005.0498046875,5,2009-12-03,5131.7001953125,0.025304521546695602
93,2010-01-21,-0.024426965968527115,2010-01-22,5094.14990234375,1,2010-01-22,5036.0,-0.011415035571881393
93,2010-01-21,-0.024426965968527115,2010-01-22,5094.14990234375,3,2010-01-27,4853.10009765625,-0.04731894610651255
93,2010-01-21,-0.024426965968527115,2010-01-22,5094.14990234375,5,2010-01-29,4882.0498046875,-0.041636014197121596
94,2010-01-27,-0.030911121968522637,2010-01-28,4863.0,1,2010-01-28,4867.25,0.00087394612379188
94,2010-01-27,-0.030911121968522637,2010-01-28,4863.0,3,2010-02-01,4899.7001953125,0.007546821984885765
94,2010-01-27,-0.030911121968522637,2010-01-28,4863.0,5,2010-02-03,4931.85009765625,0.014157947286911332
95,2010-02-05,-0.026148821603992345,2010-02-08,4755.35009765625,1,2010-02-08,4760.39990234375,0.0010619206964359584
95,2010-02-05,-0.026148821603992345,2010-02-08,4755.35009765625,3,2010-02-10,4757.2001953125,0.0003890560354666839
95,2010-02-05,-0.026148821603992345,2010-02-08,4755.35009765625,5,2010-02-15,4801.9501953125,0.009799509331440692
96,2010-05-19,-0.028927063147710874,2010-05-20,4924.2998046875,1,2010-05-20,4947.60009765625,0.004731696666106844
96,2010-05-19,-0.028927063147710874,2010-05-20,4924.2998046875,3,2010-05-24,4943.9501953125,0.003990494365573527
96,2010-05-19,-0.028927063147710874,2010-05-20,4924.2998046875,5,2010-05-26,4917.39990234375,-0.001401194609877754
97,2010-05-25,-0.027751128124750002,2010-05-26,4807.2998046875,1,2010-05-26,4917.39990234375,0.022902690102434065
97,2010-05-25,-0.027751128124750002,2010-05-26,4807.2998046875,3,2010-05-28,5066.5498046875,0.05392840274850563
97,2010-05-25,-0.027751128124750002,2010-05-26,4807.2998046875,5,2010-06-01,4970.2001953125,0.03388604772811532
98,2010-06-01,-0.02282594692275186,2010-06-02,4970.75,1,2010-06-02,5019.85009765625,0.009877804688678715
98,2010-06-01,-0.02282594692275186,2010-06-02,4970.75,3,2010-06-04,5135.5,0.033143891766836076
98,2010-06-01,-0.02282594692275186,2010-06-02,4970.75,5,2010-06-08,4987.10009765625,0.0032892617122668444
99,2010-11-16,-0.021709994155716394,2010-11-18,6075.9501953125,1,2010-11-18,5998.7998046875,-0.012697666726188772
99,2010-11-16,-0.021709994155716394,2010-11-18,6075.9501953125,3,2010-11-22,6010.0,-0.010854301498945729
99,2010-11-16,-0.021709994155716394,2010-11-18,6075.9501953125,5,2010-11-24,5865.75,-0.034595444096080064
100,2010-12-09,-0.023239695576248276,2010-12-10,5761.0,1,2010-12-10,5857.35009765625,0.01672454394310874
100,2010-12-09,-0.023239695576248276,2010-12-10,5761.0,3,2010-12-14,5944.10009765625,0.031782693569909704
100,2010-12-09,-0.023239695576248276,2010-12-10,5761.0,5,2010-12-16,5948.75,0.032589828154834244
101,2011-01-07,-0.02375065553569211,2011-01-10,5901.2998046875,1,2011-01-10,5762.85009765625,-0.02346088346863462
101,2011-01-07,-0.02375065553569211,2011-01-10,5901.2998046875,3,2011-01-12,5863.25,-0.006447698972568139
101,2011-01-07,-0.02375065553569211,2011-01-10,5901.2998046875,5,2011-01-14,5654.5498046875,-0.04181282228772765
102,2011-01-10,-0.024006706238457354,2011-01-11,5767.9501953125,1,2011-01-11,5754.10009765625,-0.002401216582540111
102,2011-01-10,-0.024006706238457354,2011-01-11,5767.9501953125,3,2011-01-13,5751.89990234375,-0.0027826684394386403
102,2011-01-10,-0.024006706238457354,2011-01-11,5767.9501953125,5,2011-01-17,5654.75,-0.019625723433689735
103,2011-02-04,-0.02370289953408422,2011-02-07,5430.14990234375,1,2011-02-07,5396.0,-0.006288942839130507
103,2011-02-04,-0.02370289953408422,2011-02-07,5430.14990234375,3,2011-02-09,5253.5498046875,-0.03252214042563106
103,2011-02-04,-0.02370289953408422,2011-02-07,5430.14990234375,5,2011-02-11,5310.0,-0.022126443008855246
104,2011-02-24,-0.03212040777345426,2011-02-25,5321.0498046875,1,2011-02-25,5303.5498046875,-0.0032888246948156175
104,2011-02-24,-0.03212040777345426,2011-02-25,5321.0498046875,3,2011-03-01,5522.2998046875,0.037821483990379434
104,2011-02-24,-0.03212040777345426,2011-02-25,5321.0498046875,5,2011-03-04,5538.75,0.04091301590913887
105,2011-05-03,-0.02386294517885945,2011-05-04,5567.7001953125,1,2011-05-04,5537.14990234375,-0.005487057833047593
105,2011-05-03,-0.02386294517885945,2011-05-04,5567.7001953125,3,2011-05-06,5551.4501953125,-0.00291861979452146
105,2011-05-03,-0.02386294517885945,2011-05-04,5567.7001953125,5,2011-05-10,5541.25,-0.004750650068185869
106,2011-06-20,-0.020218396313068876,2011-06-21,5280.7998046875,1,2011-06-21,5275.85009765625,-0.0009373025326308015
106,2011-06-20,-0.020218396313068876,2011-06-21,5280.7998046875,3,2011-06-23,5320.0,0.00742315496938617
106,2011-06-20,-0.020218396313068876,2011-06-21,5280.7998046875,5,2011-06-27,5526.60009765625,0.046546035081762804
107,2011-08-05,-0.022609589463865043,2011-08-08,5083.85009765625,1,2011-08-08,5118.5,0.006815681359236825
